BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	1
Frequency:    	240 Hz
Frames:       	2737
Start time:   	0.000

 Frame	  Time	    l gr.X	    l gr.Y	    l gr.Z	
   504	 2.100	     0.090	     0.006	    -0.158	
   505	 2.104	     0.090	     0.006	    -0.159	
   506	 2.108	     0.090	     0.006	    -0.159	
   507	 2.112	     0.091	     0.006	    -0.159	
   508	 2.117	     0.090	     0.006	    -0.159	
   509	 2.121	     0.090	     0.006	    -0.159	
   510	 2.125	     0.090	     0.006	    -0.158	
   511	 2.129	     0.090	     0.006	    -0.158	
   512	 2.133	     0.090	     0.006	    -0.158	
   513	 2.138	     0.090	     0.006	    -0.159	
   514	 2.142	     0.090	     0.006	    -0.158	
   515	 2.146	     0.090	     0.006	    -0.158	
   516	 2.150	     0.090	     0.006	    -0.158	
   517	 2.154	     0.090	     0.006	    -0.158	
   518	 2.158	     0.090	     0.006	    -0.158	
   519	 2.162	     0.090	     0.006	    -0.158	
   520	 2.167	     0.090	     0.006	    -0.159	
   521	 2.171	     0.090	     0.006	    -0.158	
   522	 2.175	     0.090	     0.006	    -0.158	
   523	 2.179	     0.091	     0.006	    -0.158	
   524	 2.183	     0.090	     0.006	    -0.158	
   525	 2.188	     0.090	     0.006	    -0.159	
   526	 2.192	     0.091	     0.006	    -0.158	
   527	 2.196	     0.090	     0.006	    -0.159	
   528	 2.200	     0.090	     0.006	    -0.158	
   529	 2.204	     0.090	     0.006	    -0.158	
   530	 2.208	     0.090	     0.006	    -0.158	
   531	 2.213	     0.090	     0.006	    -0.158	
   532	 2.217	     0.090	     0.006	    -0.158	
   533	 2.221	     0.090	     0.006	    -0.158	
