BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	1
Frequency:    	240 Hz
Frames:       	2737
Start time:   	0.000

 Frame	  Time	    r gr.X	    r gr.Y	    r gr.Z	
   398	 1.658	    -0.092	     0.008	    -0.173	
   399	 1.663	    -0.093	     0.008	    -0.173	
   400	 1.667	    -0.092	     0.008	    -0.172	
   401	 1.671	    -0.092	     0.008	    -0.173	
   402	 1.675	    -0.093	     0.008	    -0.173	
   403	 1.679	    -0.092	     0.008	    -0.172	
   404	 1.683	    -0.093	     0.008	    -0.172	
   405	 1.688	    -0.093	     0.008	    -0.173	
   406	 1.692	    -0.092	     0.008	    -0.173	
   407	 1.696	    -0.092	     0.008	    -0.172	
   408	 1.700	    -0.092	     0.008	    -0.173	
   409	 1.704	    -0.093	     0.008	    -0.172	
   410	 1.708	    -0.092	     0.008	    -0.171	
   411	 1.712	    -0.092	     0.008	    -0.172	
   412	 1.717	    -0.093	     0.008	    -0.172	
   413	 1.721	    -0.092	     0.008	    -0.172	
   414	 1.725	    -0.092	     0.008	    -0.173	
   415	 1.729	    -0.092	     0.008	    -0.173	
   416	 1.733	    -0.093	     0.008	    -0.173	
   417	 1.737	    -0.092	     0.008	    -0.172	
   418	 1.742	    -0.093	     0.008	    -0.173	
   419	 1.746	    -0.093	     0.008	    -0.174	
   420	 1.750	    -0.092	     0.008	    -0.172	
   421	 1.754	    -0.092	     0.008	    -0.173	
   422	 1.758	    -0.092	     0.008	    -0.173	
   423	 1.763	    -0.093	     0.008	    -0.172	
   424	 1.767	    -0.092	     0.008	    -0.172	
   425	 1.771	    -0.092	     0.008	    -0.173	
   426	 1.775	    -0.093	     0.008	    -0.172	
   427	 1.779	    -0.092	     0.008	    -0.172	
   428	 1.783	    -0.092	     0.008	    -0.173	
   429	 1.788	    -0.093	     0.008	    -0.172	
   430	 1.792	    -0.092	     0.008	    -0.172	
   431	 1.796	    -0.093	     0.008	    -0.172	
